Config,Num_Layers,Layer_Structure,Epochs,LR,Momentum,Activation,MSE,MAE,MAPE
Config1,1,[64],100,0.0001,0.0,relu,6853270016.0,58663.0390625,34.65949
Config2,1,[64],100,0.01,0.0,relu,1513684352.0,18261.091796875,10.168325
Config3,2,"[128, 64]",150,0.001,0.0,relu,974493248.0,16733.05078125,9.316709
Config4,2,"[128, 64]",150,0.001,0.0,tanh,982268864.0,16649.736328125,10.320066
Config5,3,"[128, 64, 32]",200,0.001,0.0,relu,905864448.0,15222.7470703125,8.471626
Config6,3,"[128, 64, 32]",200,0.001,0.9,relu,5195097088.0,45249.7265625,23.801672
Config7,4,"[256, 128, 64, 32]",250,0.001,0.0,relu,916652608.0,15953.728515625,9.1472
Config8,2,"[256, 256]",150,0.001,0.0,relu,984215616.0,16003.833984375,8.969747
Config9,2,"[256, 256]",150,0.001,0.85,tanh,2429069312.0,31622.21875,18.597258
Config10,4,"[64, 64, 64, 64]",200,0.0005,0.0,relu,949461952.0,15764.041015625,8.754311
Config11,3,"[256, 128, 64]",200,0.001,0.9,relu,8140076544.0,64611.4140625,37.261887
Config12,3,"[64, 128, 256]",200,0.001,0.0,tanh,1079437824.0,17039.822265625,10.091336
