Model,Layers,Num_Layers,Epochs,Learning_Rate,Momentum,Activation,MSE,MAE,MAPE
1,"[32, 16]",2,200,0.01,0.0,tanh,0.19494396530250716,0.28998588563048505,129.79230336380246
2,"[64, 32]",2,200,0.005,0.0,tanh,0.1919943387189545,0.28141306474265215,117.61128222007073
3,"[128, 64]",2,200,0.001,0.0,tanh,0.19815476259781464,0.27842487338356225,129.3637954215064
4,"[64, 32]",2,200,0.01,0.5,tanh,0.20551364745223802,0.294038465715953,128.79754588088704
5,"[32, 16]",2,200,0.02,0.3,relu,0.20294758835602608,0.2591574150501476,141.06456630226003
6,"[128, 64]",2,200,0.001,0.9,relu,0.33939418228578705,0.25114016474152356,118.23043808445416
7,"[64, 32, 16]",3,200,0.005,0.0,tanh,0.20238969748161179,0.28779517705791263,136.69509224191708
8,"[32, 16]",2,200,0.005,0.8,tanh,0.21415214939524443,0.3148747380926596,141.1303115230427
9,"[256, 128]",2,300,0.0005,0.0,tanh,0.19401434529380748,0.269899539636475,133.29110863647665
10,"[64, 64, 32]",3,200,0.001,0.7,relu,0.18713661299546966,0.2571737474914974,125.16606707992159
11,"[128, 64, 32]",3,200,0.003,0.5,tanh,0.2030772248363604,0.27490726779059976,110.28483027308289
12,"[64, 32]",2,200,0.01,0.9,sigmoid,0.13611239731320007,0.1924356147654617,91.7999018934781
